T,leading,zeros,ones
0,49999862540,0,0
1,25000260206,0,0
2,12500074598,0,0
3,6249778185,0,0
4,3125025253,0,0
5,1562495002,2,0
6,781245055,2,1
7,390632703,26,5
8,195320639,157,27
9,97647404,833,165
10,48829636,4079,809
11,24409324,17681,4077
12,12212386,70785,17669
13,6104320,258086,71280
14,3051009,865868,258791
15,1527408,2647952,863937
16,762384,7482230,2651226
17,380267,19526477,7480539
18,190971,47269958,19520087
19,95840,106348300,47271805
20,47519,222849430,106347032
21,23605,435580483,222853002
22,12018,795384323,435571902
23,5924,1358788923,795352544
24,2955,2173970977,1358763745
25,1473,3261016301,2173991002
26,699,4589581952,3260949821
27,332,6064866737,4589643774
28,166,7528794912,6064924066
29,79,8783602082,7528916415
30,49,9633751688,8783555341
31,26,9934593789,9633479162
32,12,9633667688,9934861504
33,6,8783685636,9633663671
34,3,7528746975,8783650483
35,4,6065028468,7528722098
36,0,4589612450,6064956268
37,0,3261010667,4589642335
38,0,2173944209,3260970148
39,0,1358759841,2174000610
40,0,795398449,1358775120
41,0,435521623,795367883
42,0,222849802,435555702
43,0,106367984,222851114
44,0,47256801,106362846
45,0,19531070,47256000
46,0,7475271,19530624
47,0,2649373,7476841
48,0,866805,2651797
49,0,258890,863664
50,0,70957,259422
51,0,17939,70887
52,0,4059,17699
53,0,813,4065
54,0,156,812
55,0,36,154
56,0,4,27
57,0,1,2
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
